#,開門動畫轉場製作,是否重複？,2058團隊認為製作難度,製作難度高？,預估時數,notes,,
1-1 1996 Biohazard,,,,,,,,
1,a01單門-無把,,1,,3,,,
2,a02單門-喇叭鎖,,2,,3,需要找模型,,
3,a03單門-垂直黃色門把,,3,,3,需要找模型,,
4,a04單門-垂直門把,,3,,3,需要找模型,,
5,a05單門-橫把,,3,,3,需要找模型,,
6,a06單門-彎曲把,,5,,3,需要找模型,,
7,b01雙門-無把,a01,1,,3,雙門動畫,,
8,b02雙門-喇叭鎖,a02,2,,1,,,
9,b03雙門-豎把,"a03,a04",3,,2,需要找模型,,
10,b04雙門-橫把,a05,5,,1,,,
11,b05雙拱門,,10,❌,0,模型建立成本過高（鐵柵欄）,,
12,b06電梯拉門,,5,⚠️,8,模型成本過高（電梯拉門）有模型但需研究有無法用程式操控開關,https://sketchfab.com/3d-models/elevator-2f-closet-1e92dad2fccc4ec68ba42cb86dff3473,
13,b07雙門自動門,,1,,2,,,
14,b08雙門拉門,b08,2,⚠️,4,需要找到一樣的門把，要研究（斜門把）,,
15,c01階梯,,3,,3,需要渲染，加上陳舊感,https://sketchfab.com/3d-models/wood-stairs-b8024273efcb4327a232958a96246da2,
16,c02直梯,,3,,2,,https://sketchfab.com/3d-models/roof-ladder-4096px2-ce757c59f2dd4448a01beaeaeb73652a,
17,c03升降梯,,5,❌,0,模型建立成本過高,,
18,c04實驗室電梯,,5,❌,0,模型建立成本過高,,
19,c05中庭電梯,,10,❌,0,模型建立成本過高,,
20,d01雙門-特殊,,1,❓,0,不確定，為何製作難度 1 ? ,,
,,,,,,,,
,,,,,,,,
1-2 1998 Biohazard 2,,,,,,,,
#,開門動畫轉場製作,是否重複？,2058團隊認為製作難度,製作難度高？,,,,
1,a01單門-無把手,1-1 a01,,,0,重複不計算,,
2,a02窄雙門-公車門,,1,⚠️,4,如果要做的與公車門完全一樣需自己建模，骨架容易但是渲染會有困難，目前沒有找到模型可以直接用,,
3,a03單門-喇叭鎖,1-1 a02,,,0,重複不計算,,
4,a04單門-粗把手,,3,❌,0,需研究有沒有可用模型，先不計入,,
5,a05單門-細把手,1-1 a05,,,0,重複不計算,,
6,a06單門-45度,,3,⚠️,4,"1. a06-s2 電子鎖鐵門和其他門的底圖不同，可能有製作困難（柵欄）
2. 每種門把手都有一點不一樣，要找到對應把手模型",,
7,a07單門-彎把手,1-1 a06,,,0,重複不計算,,
8,a08單門-自動旋轉門把,,2,⚠️,4,這個比較難找類似的造型，看起來是比較特化，且要特別做成低像素,,
9,a09單門-列車門,,1,,1,與 a08 類似,,
10,a10單門-實驗室,,1,,1,,,
11,a11單門-重型水門,,3,,5,POC 已驗證可用 box/primitive 自建浮凸門板與閥輪動畫；5h 為保守排程，正式版須改用自製材質,,
12,a12單門-豎斜把手,,3,❌,0,目前沒有找到可以直接用的把手模型,,
13,a13單門-拉門,,5,⚠️＄,3,需要額外購買模型,"https://www.turbosquid.com/3d-models/3d-model-vintage-ring-shaped-door-knocker-1596874

https://sketchfab.com/3d-models/medieval-arched-wooden-door-c31f74412c884fe0b3d92faadaec3356",
14,a14單門-直立把手,1-1 a03,,,,,,
,,,,,,,,
,,,,,,,,
1-2 1998 Biohazard 2（續 1）,,,,,,,,
#,開門動畫轉場製作,是否重複？,2058團隊認為製作難度,製作難度高？,,,,
1,b01-雙門-直立把手,1-1 b03,,,0,重複不計算,,
2,b02-雙門-45度,a06,,,0,重複不計算,,
3,b03-雙門-45度不可動,,3,,3,開門只開一邊，門把也只轉動一邊，動畫需要重新製作,,
4,b04-雙門-喇叭鎖,1-1 b02,,,0,重複不計算,,
5,b05-雙門-纜車門,,3,❓⚠️,0,門上有一種特殊的細長豎把，有可能找不到完全一樣的模型，可以不實做手把，或是改成後面這種嗎,https://sketchfab.com/3d-models/handle-9ca2d9d9605d4fbfb106a710e1fa94a3,
6,b06-雙門-重型水門,a11,,❌,0,同 a11 ,,
7,b07-雙門-大電梯門,,1,❌,0,目前沒有找到鋸齒（左右）電梯門版的模型,,
8,b08-雙門-列車門,a09,,,2,"與 a09, a08 類似，只是是雙門動畫",,
9,b09-大扇門-橫向拉門,,1,❌,0,找不到一樣的網狀門模型,,
10,b10-下水道閘門,,1,,3,POC 已驗證可用 ExtrudeGeometry 自建上下齒形閘板與垂直位移；3h 為保守排程,,
11,c01-階梯,1-1 c01,,,0,重複不計算,,
12,c02-直梯,1-1 c02,,,0,重複不計算,,
13,c03-升降梯,1-1 c03,,,0,重複不計算,,
14,c04-滑梯,,8,,4,需要研究通道模型怎麼拼成長條狀，供動畫使用,https://sketchfab.com/3d-models/free-modular-air-duct-kit-42c2d823cc054268a0175380642c5cc8,重複不計算
15,c05-大電梯,,5,❌,0,沒有一樣的貨梯模型,,
16,c06-電梯門,1-1 b06,,,0,重複不計算,,
,,,,,,,,
,,,,,,,,
1-3 1999 Biohazard 3,,,,,,,,
#,開門動畫轉場製作,是否重複？,2058團隊認為製作難度,製作難度高？,,,,
1,a01單門-無把手,1-1 a01,,,0,重複不計算,,
2,a02單門-喇叭鎖,1-1 a02,,,0,重複不計算,,
3,a03單門-長型把手,1-2 a04,,,0,"重複不計算, a02-s3 有柵欄的鐵門實作難度較高（非平面），除非有必要否則先不實做",,
4,a04單門-圓環把手,1-2 a13,,⚠️＄,,需要額外購買模型,,
5,a05單門-斜把手,,5,⚠️,4,門把周圍有凹槽，可能沒辦法做到完全相同,,
6,a06單門-彎把手,1-1 a03,,⚠️,2,好像就是比較長的豎把？需找模型，和1-1 a03把手不一樣,,
7,a07單扇-門拉把手,,3,⚠️,2,需研究有沒有細的豎把,,
8,a08輕軌-電車門,1-2 a09,,,2,與 1-2 a09 類似，動畫有一點不一樣,,
9,a09單門-凹形把手,,10,❌,0,建立模型成本過高,,
10,a10單門-門栓鎖,,10,❌,0,建立模型成本過高,,
11,a11單門-豎斜把手,1-2 a12,,❌,0,,https://sketchfab.com/3d-models/sliding-bolt-door-latch-with-knob-9c276f47f71444b081d2b237a873d1ac,
12,a12單門-旋轉把手,1-2 a11,,❌,0,,,
,,,,,,,,
,,,,,,,,
1-3 1999 Biohazard 3,,,,,,,,
#,開門動畫轉場製作,是否重複？,2058團隊認為製作難度,製作難度高？,,,,
1,b01雙門-圓環把手,,5,⚠️,6,"要有鐵門的貼圖
圓環同 1-3 a04 ，模型需要另外購買",,
2,b02雙門-垂直把手,1-1 b08,,,2,"需要找到對應的豎把
門的兩側都有把手",,
3,b03雙門-喇叭鎖,1-1 b03,,,0,重複不計算,,
4,b04雙門-大把手,,5,❌,0,結構不複雜，但是要在把手上渲染對應的陳舊文理比較難，否則門板跟把手會有落差,,
5,b05雙門-門栓鎖,,10,❌,0,建立模型成本過高,,
6,b06雙自動門,1-2 b07,,❌,0,目前沒有找到鋸齒（左右）電梯門版的模型,,
7,b07雙門-斜把手,"a11,1-3 a05",,⚠️,0,門把周圍有凹槽，可能沒辦法做到完全相同,,
8,b08雙門-灣把手 (X門),1-1 b03,,,1,把手有鏽蝕感，無法做到完全相同,,
9,c01階梯,1-1 c01,,,0,重複不計算,,
10,c02直梯,1-1 c02,,,0,重複不計算,,
11,c03升降梯,1-1 c03,,❌,0,模型建立成本過高,,
12,c04醫院電梯,,5,,6,做得到，但花時間寫出模型+產貼圖,,
13,c05緊急逃生電梯,,9,❌,0,模型建立成本過高,,
14,c06鑽洞,,5,,0,模型建立成本過高（除非能找到現成模型）,,
,,,,,,,,
,,,,,,,,
1-4 2000 Biohazard Gun Survivor,,,,,,,,
